Type,Vessel_Name,Built,Size_Dwt,Builder,Sold,En_Bloc,Price,Sellers,Buyers,SOx_Scrubber_Fitted,Eco_Engine,Newbuild_Price,Scrap_Price,TCR_6M,TCR_1Yr,TCR_3Yrs,TCR_5Yrs,TCR_1Yr_Class,Age_Yrs,Builder_Country,China,India,Indonesia,Japan,Other,Philippines,South_Korea,Taiwan,Vietnam,Class
Bulk,Star Delta,2000,52434,Tsuneishi Zosen,2018-11-27,0,6,Star Bulk Carriers,Middle Eastern interests,0,0,26,4.17831,13000,12000,12500,12250,12000,18,Japan,0,0,0,1,0,0,0,0,0,Handymax
Bulk,Silver Phoenix,2006,74759,Hudong Zhonghua,2018-11-26,0,9.5,Valles Steamship,Clients of Smart-Trans Shpg,0,0,27.5,5.43034,,11550,11375,11125,13550,12,China,1,0,0,0,0,0,0,0,0,Panamax
Bulk,Southern Explorer,2002,177493,Mitsui SB (Chiba),2018-11-21,0,13.5,Mizuho Sangyo,Clients of Navitas,0,0,50,9.55504,13000,14000,14250,16875,15000,16,Japan,0,0,0,1,0,0,0,0,0,Capesize
Bulk,Bora*,2010,29724,Wuhu Shipyard,2018-11-20,1,8.5,Marlow Navigation,Clients of Canfornav,0,1,21.55,2.95797,10000,10000,9500,9250,10500,8,China,1,0,0,0,0,0,0,0,0,Handysize
Bulk,Glory Hongkong,2012,40413,Ningbo Dongfang,2018-11-20,0,10.6,Zhejiang Huale Ocean,Undisclosed interests,0,0,24,2.95797,10500,10500,10000,9750,10500,6,China,1,0,0,0,0,0,0,0,0,Handysize
Bulk,Kinko Maru,2001,91860,Imabari SB Saijo,2018-11-20,0,11.5,K-Line,Clients of Dongguan Haichang,0,0,28,,,,,,,17,Japan,0,0,0,1,0,0,0,0,0,no-class
Bulk,Mistral*,2010,29859,Wuhu Shipyard,2018-11-20,1,8.5,Marlow Navigation,Clients of Canfornav,0,1,21.55,2.95797,10000,10000,9500,9250,10500,8,China,1,0,0,0,0,0,0,0,0,Handysize
Bulk,N/B RESALE HULL SS-200,2019,82000,Tsuneishi Zhoushan,2018-11-16,0,30,Efshipping Co SA,Clients of BW Dry Cargo,0,1,28,5.43034,,13650,13000,12875,13650,-1,China,1,0,0,0,0,0,0,0,0,Panamax
Bulk,SSI Invincible,2010,57017,Zhejiang Zhenghe SB,2018-11-15,0,12.3,"Densay Shpg & T'dg",Clients of CSC Phoenix,0,0,26,4.17831,13500,12500,12500,12250,12500,8,China,1,0,0,0,0,0,0,0,0,Handymax
Bulk,Asian Beauty,2011,28218,Shimanami Shipyard,2018-11-14,0,9.5,Sojitz Marine,Japanese interests,0,0,21.55,2.95797,10000,10000,9500,9250,10500,7,Japan,0,0,0,1,0,0,0,0,0,Handysize
Bulk,Olga V,2017,81645,Namura Shipbuilding,2018-11-14,0,30,Capital Mgmt Serv,Clients of Vrontados Shipping,0,1,28,5.43034,,14150,13750,13250,14150,1,Japan,0,0,0,1,0,0,0,0,0,Panamax
Bulk,Alcyon,2001,75247,Hyundai Samho HI,2018-11-13,0,7.45,Diana Shipping,Undisclosed interests,0,0,27.5,5.43034,,12500,12375,11750,14150,17,South Korea,0,0,0,0,0,0,1,0,0,Panamax
Bulk,Genco Beauty,1999,73941,Oshima Shipbuilding,2018-11-13,0,6.7,Genco Shpg & Trading,Undisclosed interests,0,0,27.5,5.43034,,12500,12375,11750,14150,19,Japan,0,0,0,1,0,0,0,0,0,Panamax
Bulk,Gemini Pioneer,2008,55624,Mitsui SB (Tamano),2018-11-09,0,13.6,Marubeni Corp,Clients of Polforce Shipping,0,0,26,4.17831,13500,12500,12500,12250,12500,10,Japan,0,0,0,1,0,0,0,0,0,Handymax
Bulk,New Destiny,2007,53554,Iwagi Zosen,2018-11-09,0,11,Hsin Chien Marine,Greek interests,0,0,26,4.17831,13500,12500,12500,12250,12500,11,Japan,0,0,0,1,0,0,0,0,0,Handymax
Bulk,U Noble,2012,56856,Xiamen Shipbuilding,2018-11-09,0,12.8,Sky Rainbow Shpg,Clients of EGPN,0,0,26,4.17831,13500,12500,12500,12250,12500,6,China,1,0,0,0,0,0,0,0,0,Handymax
Bulk,New Kosmos,2005,56011,Mitsui SB (Tamano),2018-11-07,0,11,New Vision Shpg,Undisclosed interests,0,0,26,4.17831,13750,12750,12500,12250,12750,13,Japan,0,0,0,1,0,0,0,0,0,Handymax
Bulk,Taurus Ocean,2008,78819,Sanoyas,2018-11-07,0,14.5,Diamond Star Shpg,Greek interests,0,0,27.5,5.43034,,13275,12625,12000,14825,10,Japan,0,0,0,1,0,0,0,0,0,Panamax
Bulk,Triton,2001,75336,Hyundai Samho HI,2018-11-07,0,7.35,Diana Shipping,Undisclosed interests,0,0,27.5,5.43034,,13275,12625,12000,14825,17,South Korea,0,0,0,0,0,0,1,0,0,Panamax
Bulk,Vela,2015,63042,Jiangsu Hantong HI,2018-11-07,0,20,Delphin Shipping,Clients of Oceanbulk,0,1,26,4.17831,13750,13500,13250,13000,12750,3,China,1,0,0,0,0,0,0,0,0,Handymax
Bulk,Fortis Amalthea,1999,47263,Oshima Shipbuilding,2018-11-06,0,6.4,Fortis Bulkers,Greek interests,0,0,26,4.17831,13750,12750,12500,12250,12750,19,Japan,0,0,0,1,0,0,0,0,0,Handymax
